,Count,Date,Day_of_week
12.01.2017,832,12-Jan-17,Thursday
12.02.2017,336,12-Feb-17,Sunday
12.03.2017,332,12-Mar-17,Sunday
12.04.2017,1112,12-Apr-17,Wednesday
12.05.2017,1187,12-May-17,Friday
12.06.2017,1336,12-Jun-17,Monday
12.07.2017,854,12-Jul-17,Wednesday
12.08.2017,526,12-Aug-17,Saturday
12.09.2017,1110,12-Sep-17,Tuesday
12.10.2017,835,12-Oct-17,Thursday
12.11.2017,299,12-Nov-17,Sunday
12.12.2016,46,12-Dec-16,Monday
12.12.2017,1042,12-Dec-17,Tuesday
13.01.2017,1205,13-Jan-17,Friday
13.02.2017,1529,13-Feb-17,Monday
13.03.2017,1287,13-Mar-17,Monday
13.04.2017,953,13-Apr-17,Thursday
13.05.2017,523,13-May-17,Saturday
13.06.2017,1044,13-Jun-17,Tuesday
13.07.2017,935,13-Jul-17,Thursday
13.08.2017,313,13-Aug-17,Sunday
13.09.2017,923,13-Sep-17,Wednesday
13.10.2017,1228,13-Oct-17,Friday
13.11.2017,1465,13-Nov-17,Monday
13.12.2016,74,13-Dec-16,Tuesday
13.12.2017,1247,13-Dec-17,Wednesday
14.01.2017,611,14-Jan-17,Saturday
14.02.2017,1015,14-Feb-17,Tuesday
14.03.2017,998,14-Mar-17,Tuesday
14.04.2017,1202,14-Apr-17,Friday
14.05.2017,265,14-May-17,Sunday
14.06.2017,1059,14-Jun-17,Wednesday
14.07.2017,1021,14-Jul-17,Friday
14.08.2017,1289,14-Aug-17,Monday
14.09.2017,876,14-Sep-17,Thursday
14.10.2017,538,14-Oct-17,Saturday
14.11.2017,1061,14-Nov-17,Tuesday
14.12.2016,112,14-Dec-16,Wednesday
14.12.2017,1011,14-Dec-17,Thursday
15.01.2017,313,15-Jan-17,Sunday
15.02.2017,993,15-Feb-17,Wednesday
15.03.2017,966,15-Mar-17,Wednesday
15.04.2017,644,15-Apr-17,Saturday
15.05.2017,1153,15-May-17,Monday
15.06.2017,948,15-Jun-17,Thursday
15.07.2017,536,15-Jul-17,Saturday
15.08.2017,1052,15-Aug-17,Tuesday
15.09.2017,1231,15-Sep-17,Friday
15.10.2017,289,15-Oct-17,Sunday
15.11.2017,872,15-Nov-17,Wednesday
15.12.2016,176,15-Dec-16,Thursday
15.12.2017,1320,15-Dec-17,Friday
16.01.2017,1353,16-Jan-17,Monday
16.02.2017,1096,16-Feb-17,Thursday
16.03.2017,896,16-Mar-17,Thursday
16.04.2017,286,16-Apr-17,Sunday
16.05.2017,1018,16-May-17,Tuesday
16.06.2017,1202,16-Jun-17,Friday
16.07.2017,320,16-Jul-17,Sunday
16.08.2017,850,16-Aug-17,Wednesday
16.09.2017,538,16-Sep-17,Saturday
16.10.2017,1339,16-Oct-17,Monday
16.11.2017,896,16-Nov-17,Thursday
16.12.2016,276,16-Dec-16,Friday
16.12.2017,720,16-Dec-17,Saturday
17.01.2017,1065,17-Jan-17,Tuesday
17.02.2017,1295,17-Feb-17,Friday
17.03.2017,1140,17-Mar-17,Friday
17.04.2017,1370,17-Apr-17,Monday
17.05.2017,953,17-May-17,Wednesday
17.06.2017,628,17-Jun-17,Saturday
17.07.2017,1261,17-Jul-17,Monday
17.08.2017,823,17-Aug-17,Thursday
17.09.2017,309,17-Sep-17,Sunday
17.10.2017,1120,17-Oct-17,Tuesday
17.11.2017,1288,17-Nov-17,Friday
17.12.2016,194,17-Dec-16,Saturday
17.12.2017,362,17-Dec-17,Sunday
18.01.2017,933,18-Jan-17,Wednesday
18.02.2017,561,18-Feb-17,Saturday
18.03.2017,1183,18-Mar-17,Saturday
18.04.2017,1043,18-Apr-17,Tuesday
18.05.2017,920,18-May-17,Thursday
18.06.2017,299,18-Jun-17,Sunday
18.07.2017,1109,18-Jul-17,Tuesday
18.08.2017,1203,18-Aug-17,Friday
18.09.2017,1337,18-Sep-17,Monday
18.10.2017,983,18-Oct-17,Wednesday
18.11.2017,645,18-Nov-17,Saturday
18.12.2016,237,18-Dec-16,Sunday
18.12.2017,647,18-Dec-17,Monday
19.01.2017,989,19-Jan-17,Thursday
19.02.2017,292,19-Feb-17,Sunday
19.03.2017,446,19-Mar-17,Sunday
19.04.2017,1027,19-Apr-17,Wednesday
19.05.2017,1182,19-May-17,Friday
19.06.2017,1360,19-Jun-17,Monday
19.07.2017,953,19-Jul-17,Wednesday
19.08.2017,503,19-Aug-17,Saturday
19.09.2017,981,19-Sep-17,Tuesday
19.10.2017,946,19-Oct-17,Thursday
19.11.2017,310,19-Nov-17,Sunday
19.12.2016,206,19-Dec-16,Monday
19.12.2017,306,19-Dec-17,Tuesday
20.01.2017,1391,20-Jan-17,Friday
20.02.2017,1392,20-Feb-17,Monday
20.03.2017,701,20-Mar-17,Monday
20.04.2017,959,20-Apr-17,Thursday
